before_id,after_id,iou,status,area_before_px,area_after_px,pct_change,semantic_change,before_exg,after_exg,before_g_r,after_g_r
162,31.0,0.057416267693042755,weak_match,266,4113,14.462406015037594,VEGETATION -> VEGETATION,20.680450439453125,37.39363098144531,1.796992540359497,-0.44541695713996887
163,37.0,0.4277372360229492,possible_change,1582,3555,1.2471554993678888,VEGETATION -> VEGETATION,67.26991271972656,64.6534423828125,28.146650314331055,32.42362976074219
167,26.0,0.796920120716095,matched_same,967,1072,0.10858324715615306,BARE_SOIL -> BARE_SOIL,19.994829177856445,16.8125,-15.800414085388184,-21.916976928710938
171,128.0,0.5210356116294861,matched_same,589,977,0.6587436332767402,VEGETATION -> VEGETATION,34.31748580932617,83.11770629882812,-0.9762309193611145,38.32548522949219
173,62.0,0.14131470024585724,weak_match,476,3244,5.815126050420168,VEGETATION -> VEGETATION,54.443275451660156,48.633785247802734,16.7394962310791,10.21208381652832
157,,0.0,deleted_after,439,0,,VEGETATION -> NONE,48.223236083984375,,7.592255115509033,
159,,0.0,deleted_after,175,0,,VEGETATION -> NONE,28.20571517944336,,9.0,
160,,0.0,deleted_after,4,0,,VEGETATION -> NONE,39.75,,6.25,
161,,0.0,deleted_after,94,0,,VEGETATION -> NONE,50.1489372253418,,9.808510780334473,
164,,0.0,deleted_after,292,0,,VEGETATION -> NONE,56.47260284423828,,20.554794311523438,
165,,0.0,deleted_after,236,0,,VEGETATION -> NONE,27.42796516418457,,6.83474588394165,
166,,0.0,deleted_after,1727,0,,BARE_SOIL -> NONE,-0.8691372275352478,,-44.76259231567383,
168,,0.0,deleted_after,199,0,,VEGETATION -> NONE,48.64321517944336,,11.361808776855469,
169,,0.0,deleted_after,6,0,,VEGETATION -> NONE,47.0,,9.666666984558105,
170,,0.0,deleted_after,10,0,,VEGETATION -> NONE,24.200000762939453,,-15.0,
172,,0.0,deleted_after,80,0,,VEGETATION -> NONE,59.525001525878906,,17.850000381469727,
174,,0.0,deleted_after,468,0,,VEGETATION -> NONE,25.89316177368164,,-11.79273509979248,
176,,0.0,deleted_after,1443,0,,VEGETATION -> NONE,74.41857147216797,,33.17463684082031,
177,,0.0,deleted_after,118,0,,BARE_SOIL -> NONE,19.533897399902344,,-1.6864407062530518,
179,,0.0,deleted_after,110,0,,VEGETATION -> NONE,24.690908432006836,,8.609090805053711,
180,,0.0,deleted_after,69,0,,VEGETATION -> NONE,35.01449203491211,,-5.985507011413574,
